,harb_code,lat,lon,name_IT,name_HR,link
613,DKAAB,55.05,9.433333,,Abenra,
614,DKAAL,57.05,9.933333,,Alborg,
615,DKAAR,56.15,10.216667,,Arhus,
616,DKASN,55.266667,9.883333,,Assens,
617,DKAUB,54.95,9.866667,,Augustenborg,
618,DKBDX,54.833333,11.5,,Bandholm,
619,DKCPH,55.7,12.616667,,Kobenhavn,
620,DKCSO,55.316667,15.183333,,Christianso Harbor,
621,DKEBJ,55.466667,8.45,,Esbjerg,
622,DKENS,55.016667,9.433333,,Ensted,
623,DKFAA,55.1,10.25,,Faborg,
624,DKFAK,55.216667,12.166667,,Fakse Ladeplads Havn,
625,DKFDH,57.433333,10.55,,Frederikshavn,
626,DKFDS,55.833333,12.05,,Frederikssund,
627,DKFDV,55.966667,12.016667,,Frederiksvaerk,
628,DKFRC,55.566667,9.766667,,Fredericia,
629,DKGFH,55.2,11.266667,,Gulfhaven,
630,DKGRE,56.416667,10.933333,,Grenaa Havn,
631,DKHAD,55.25,9.5,,Haderslev,
632,DKHAN,57.133333,8.6,,Hanstholm,
633,DKHAS,56.983333,10.316667,,Hals,
634,DKHBK,55.716667,11.716667,,Holbaek,
635,DKHBO,56.633333,9.8,,Hobro,
636,DKHIR,57.6,9.966667,,Hirtshals,
637,DKHLS,56.033333,12.616667,,Helsingor,
638,DKHOR,55.866667,9.85,,Horsens,
639,DKHSB,56.5,8.583333,,Holstebro-Stuer,
640,DKHSL,55.183333,14.7,,Hasle,
641,DKHSU,56.716667,10.116667,,Hadsund,
642,DKHUN,55.966667,11.85,,Hundested,
643,DKKAL,55.683333,11.1,,Kalundborg,
644,DKKBY,55.816667,11.883333,,Kyndbyvaerkets Havn,
645,DKKOG,55.45,12.2,,Koge,
646,DKKOL,55.483333,9.5,,Kolding,
647,DKKRR,55.333333,11.133333,,Korsor,
648,DKKTD,55.45,10.666667,,Kerteminde,
649,DKLVG,56.583333,8.283333,,Lemvig,
650,DKMID,55.5,9.733333,,Middelfart,
651,DKMRR,56.65,9.983333,,Mariager,
652,DKMRS,54.916667,10.333333,,Marstal,
653,DKNAK,54.833333,11.133333,,Nakskov,
654,DKNBG,55.316667,10.8,,Nyborg,
655,DKNEX,55.066667,15.133333,,Nekso,
656,DKNTD,54.666667,11.733333,,Nysted,
657,DKNVD,55.233333,11.75,,Naestved,
658,DKNYF,54.766667,11.866667,,Nykobing (Falster),
659,DKNYM,56.766667,11.866667,,Nykobing (Mor),
660,DKODE,55.416667,10.383333,,Odense,
661,DKRAN,56.466667,10.05,,Randers,
662,DKRKB,54.95,10.716667,,Rudkobing,
663,DKRKG,56.083333,8.25,,Ringkobing,
664,DKRNN,55.1,14.7,,Ronne,
665,DKROF,54.65,11.35,,Rodby Havn,
666,DKSAX,54.8,11.633333,,Sakskobing,
667,DKSBK,54.883333,12.05,,Stubbekobing,
668,DKSGD,54.916667,9.783333,,Sonderborg,
669,DKSIT,55.2,11.25,,Stigsnaesvaerket,
670,DKSKA,57.716667,10.6,,Skagen Havn,
671,DKSKB,55.516667,9.616667,,Skaerbaek,
672,DKSSK,55.25,11.3,,Skaelskor,
673,DKSSV,56.25,10.35,,Studstrup,
674,DKSTE,54.983333,12.283333,,Stege,
675,DKSVE,55.066667,10.616667,,Svendborg,
676,DKTED,56.95,8.7,,Thisted,
677,DKTHN,56.7,8.216667,,Thyboron,
678,DKTUB,55.716667,12.583333,,Tuborg,
679,DKVEJ,55.716667,9.55,,Vejle,
680,DKVOR,55.0,11.9,,Vordingborg,
813,FIHEL,60.166667,24.966667,,Helsinki,
814,FIHIM,64.0,23.65,,Himanka,
815,FIHKO,59.816667,22.95,,Hanko,
816,FIHLL,63.283333,22.233333,,Hellnas,
817,FIHMN,60.566667,27.2,,Hamina,
818,FIINK,60.016667,23.916667,,Inkoo,
819,FIJUS,59.833333,23.566667,,Jussaro,
820,FIKAN,63.416667,22.283333,,Kantlax,
821,FIKAS,62.383333,21.233333,,Kaskinen,
822,FIKEM,65.733333,24.566667,,Kemi,
823,FIKOK,63.85,23.016667,,Kokkola,
824,FIKRS,62.283333,21.4,,Kristinestad,
825,FIKTK,60.466667,26.966667,,Kotka,
826,FILOV,60.45,26.233333,,Loviisa,
827,FIMHQ,60.1,19.916667,,Mariehamn,
828,FIMTY,61.6,21.483333,,Mantyluoto,
829,FINLI,60.466667,22.016667,,Naantali,
830,FIOUL,65.016667,25.4,,Oulu,
831,FIPAR,60.283333,22.066667,,Pargas,
832,FIPOA,60.083333,24.383333,,Porkkala,
833,FIPOR,61.483333,21.8,,Pori,
834,FIPRS,63.683333,22.666667,,Pietarsaari,
835,FIPRV,60.3,25.633333,,Porvoo,
836,FIRAA,64.683333,24.416667,,Raahe,
837,FIRAH,64.2,23.733333,,Rahja,
838,FIRAU,61.133333,21.5,,Rauma,
839,FITAI,59.983333,23.433333,,Ekenas,
840,FITHK,61.633333,21.4,,Tahkoluoto,
841,FITKU,60.45,22.233333,,Turku,
842,FITOK,60.033333,25.583333,,Tolkkinen,
843,FITOR,65.766667,24.166667,,Tornio,
844,FIUKI,60.8,21.4,,Uusikaupunki,
845,FIUKP,63.516667,22.533333,,Nykarleby,
846,FIUTO,59.78333333,21.36666667,,Uto,
847,FIVAA,63.1,21.583333,,Vaasa,
848,FIVEI,65.7,24.616667,,Veitsiluoto,
854,FOFUG,62.25,-6.8,,Fuglafjordur,
855,FOKVI,62.233333,-6.583333,,Klaksvik,
856,FORVK,62.116667,-6.716667,,Runavik,
857,FOSRV,62.083333,-7.25,,Sorvagur,
858,FOTOR,62.0,-6.75,,Torshavn,
859,FOTVO,61.55,-6.8,,Tvoroyri,
860,FOVAG,61.483333,-6.8,,Vagur,
861,FOVES,62.15,-7.166667,,Vestmanna,
1459,ISAKU,65.683333,-18.083333,,Akureyri,
1460,ISBIL,65.683333,-23.6,,Bildudalur,
1461,ISBOL,66.166667,-23.233333,,Bolungavik,
1462,ISDAL,65.983333,-18.516667,,Dalvik,
1463,ISESK,65.066667,-14.016667,,Eskifjordhur,
1464,ISFAS,64.933333,-14.016667,,Budir,
1465,ISGRT,64.266667,-22.0,,Grundartangi,
1466,ISHAF,64.066667,-21.95,,Hafnarfjordur,
1467,ISHFN,64.25,-15.233333,,Hornabjordur,
1468,ISHUS,66.033333,-17.333333,,Husavik,
1469,ISISA,66.066667,-23.116667,,Isafjordur,
1470,ISKEV,64.0,-22.55,,Keflavik,
1471,ISKJF,64.15,-22.016667,,Skerjafjordur,
1472,ISNES,65.15,-13.683333,,Neskaupstadur,
1473,ISREY,64.15,-21.933333,,Reykjavik,
1474,ISSAU,65.75,-19.666667,,Saudarkrokur,
1475,ISSEY,65.266667,-14.0,,Seydhisfjordhur,
1476,ISSIG,66.15,-18.916667,,Siglufjorhurd,
1477,ISSTR,64.05,-22.05,,Straumsvik,
1478,ISTEY,65.883333,-23.483333,,Thingeyri,
1479,ISVES,63.433333,-20.283333,,Vestmannaeyjar,
2021,NOADN,69.333333,16.133333,,Andenes,
2022,NOAES,62.466667,6.166667,,Alesund,
2023,NOAKM,59.266667,5.183333,,Akrahamn,
2024,NOALF,69.966667,23.25,,Alta,
2025,NOAND,62.566667,7.683333,,Andalsnes,
2026,NOARD,61.233333,7.716667,,Ardalstangen,
2027,NOARE,58.466667,8.766667,,Arendal,
2028,NOBER,65.366667,12.2,,Berg,
2029,NOBGO,60.4,5.316667,,Bergen,
2030,NOBJF,70.633333,29.733333,,Batsfjorden,
2031,NOBLL,68.333333,16.85,,Litle Ballangen,
2032,NOBNN,65.466667,12.2,,Bronnoysund,
2033,NOBOO,67.283333,14.383333,,Bodo,
2034,NOBSD,68.066667,13.7,,Ballstad,
2035,NOBTS,68.233333,14.85,,Brettesnes,
2036,NOBVG,70.866667,29.1,,Berlevag,
2037,NOBVK,59.066667,9.7,,Brevik,
2038,NODRG,68.05,16.083333,,Drag,
2039,NODRK,59.666667,10.65,,Drobak,
2040,NODRM,59.733333,10.25,,Drammen,
2041,NOEGE,58.45,6.0,,Egersund,
2042,NOFAN,58.083333,6.816667,,Farsund,
2043,NOFAU,67.25,15.366667,,Fauske,
2044,NOFAX,59.733333,10.6,,Fagerstrand,
2045,NOFFD,58.3,6.666667,,Flekkefjorden,
2046,NOFNE,69.233333,17.966667,,Finnsnes,
2047,NOFRK,59.2,10.95,,Fredrikstad,
2048,NOFRO,61.6,5.033333,,Floro,
2049,NOGBD,69.35,18.083333,,Gibostad,
2050,NOGLO,66.816667,13.983333,,Glomfjord,
2051,NOHAL,59.116667,11.383333,,Halden,
2052,NOHAU,59.416667,5.266667,,Haugesund,
